User,Year,Make,Model,MPG
oldguy,2012,Toyota,Prius,37.4
oloung1,2014,Audi,S4,16.4
omBRE,2013,Ford,Fusion,24.9
omniminded,2012,Toyota,Prius,32.4
ooelsworth,2018,Jeep,Renegade,29.3
oppsie,2013,Subaru,Outback,22.6
Orangutan,2012,Mazda,5,23.5
orion7144,2019,Ford,F-450,10.2
OrlandFarm,2014,Ford,F-150,16
Othalis,2010,Suzuki,SX4,31.3
OutWithaW,2018,Mazda,MX-5,34.5
Overlander13,2019,Toyota,Tacoma,15.8
owmsg,1991,Mazda,MX-5,28.7
pacman,2013,Ford,F-150,10.8
palmyrapassat,2013,GMC,Acadia,16.4
pandaR,2011,BMW,M3,14.1
parkdaddy02,2015,Nissan,Rogue,26.8
parkdaddy02,2015,Nissan,Rogue,26.7
Partyguy816,2016,Toyota,Tundra,11.8
patrict,2014,Mitsubishi,ASX,21.6
PatTheBoss,2015,Genuine,Buddy,90
pavanbabut,2013,BMW,R1200RT,41.1
pawelbl,2006,Honda,SH,77.3
pcwooi,2014,Proton,Iriz,27.9
pdxa4,2017,Jeep,Wrangler,13.6
petau,2015,BMW,328i,22.3
petra,2018,Porsche,Macan,22.6
PhreshNBeat,2017,Subaru,BRZ,27.6
phrinda,2017,Volkswagen,Golf,26.6
pilotdave,2017,Subaru,Legacy,27.4
PleasurePirate,2015,Toyota,Prius,43.2
